,sizer,sizec,goea_nsig,goea_bestp
0,233,3,1,0.0019034434124045026
1,181,4,0,0.430591544014867
2,161,4,0,0.2665718113241225
3,179,4,0,0.14299205621925928
4,172,4,0,1.0
5,175,4,1,0.004821782430230408
6,175,4,0,0.4019896152359513
7,169,4,0,0.21474002338684492
8,166,4,0,0.8453477425668451
9,167,4,0,0.1332146787993574
10,171,4,0,0.09299159176317802
11,262,3,2,0.02277587338430603
12,162,4,0,0.4937392128302823
13,203,4,1,0.004704616402138664
14,171,5,0,0.9821866989292374
15,162,5,2,0.029533727603766623
16,167,5,0,0.1897721836270342
17,169,5,1,0.04808696988596089
18,160,5,0,0.12115163153874871
19,162,5,1,0.00582310431236501
20,186,4,0,0.7148082779252775
21,160,5,0,1.0
22,155,5,0,1.0
23,209,4,0,0.5488260002997198
24,162,5,0,1.0
25,170,5,0,0.17094537983564803
26,176,5,0,0.8579430801177531
27,155,5,0,0.3893827110794302
28,154,5,0,0.3659336680812304
29,168,5,0,1.0
30,165,5,0,1.0
31,195,4,0,0.057380907073253544
32,162,5,0,0.5926941258992869
33,157,5,0,0.6544852872872898
34,154,5,0,0.1829668340406152
35,203,4,0,0.11049271794101638
36,168,5,0,0.20192055773424808
37,159,5,0,0.41645847268863645
38,162,5,0,0.5926941258992869
39,207,4,0,0.11634378400045906
40,170,5,0,0.6798110230719474
41,165,5,1,0.03651753125272404
42,184,4,1,0.0059732258965070895
43,158,5,1,0.00423390254822583
44,184,4,1,0.0059732258965070895
45,198,4,0,0.5283383605319206
46,194,4,0,0.05395464321651218
47,192,3,0,0.05323417180110875
48,154,4,0,0.9131593022997712
49,185,3,1,0.004984804367334378
50,288,3,0,0.27950123802627685
51,185,4,0,0.5113599101485938
52,161,5,0,1.0
53,154,5,0,0.3437094649587509
54,222,4,0,0.3387997904896652
55,164,5,0,0.3326376740096761
56,187,5,0,0.8322049329552516
57,161,6,0,0.533143622648245
58,161,6,0,0.533143622648245
59,159,6,0,0.5136531124569963
60,156,6,0,0.4853055099544237
61,166,5,0,1.0
62,185,5,0,0.8060465379311497
63,162,6,0,0.543068581434293
64,155,6,0,0.47609038578338064
65,184,5,0,0.3965861076268413
66,160,6,0,0.5233386961957365
67,156,6,0,0.4853055099544237
68,158,5,0,0.10605728161257896
69,170,5,0,0.3100933469786775
70,175,5,0,0.6833284093187926
71,178,5,0,0.37214361304910665
72,201,4,0,0.4818887618464445
73,173,5,0,1.0
74,166,5,0,1.0
75,170,5,0,0.6268719247014883
76,157,5,0,1.0
77,158,5,0,1.0
78,230,4,0,1.0
79,170,5,0,1.0
80,187,5,0,0.8322049329552516
81,164,6,0,0.5632813508159971
82,154,6,0,0.4669911449477305
83,155,6,0,0.47609038578338064
84,189,5,0,0.8454903465917197
85,163,6,0,0.5531142614489414
86,157,6,0,0.4853055099544237
87,169,5,0,0.6159619702624005
88,173,5,0,0.6490711318105986
89,184,5,0,0.7931722152536826
90,180,5,0,0.7308224585275037
91,197,4,0,1.0
92,161,5,0,1.0
93,167,5,0,1.0
94,156,5,0,1.0
95,160,5,0,1.0
96,222,4,0,0.2843225819963733
97,189,5,0,0.42945706528288496
98,158,6,0,0.5040861810480721
99,154,6,0,0.4669911449477305
100,166,5,0,0.5839825063935296
101,171,5,0,0.6379080845033512
102,173,5,0,0.6603617480567727
103,222,4,0,0.4551674743097392
104,158,5,0,0.25204309052403606
105,168,5,0,0.39416427522274455
106,184,5,0,0.7931722152536826
107,176,5,0,0.6833284093187926
108,189,4,0,0.1688731532678793
109,159,5,0,0.25682655622849815
110,196,4,0,0.4712000056963619
111,156,5,0,0.4853055099544237
112,156,5,0,0.47609038578338064
113,209,4,0,1.0
114,163,5,0,0.5531142614489414
115,211,4,0,0.5869774969712342
116,290,3,0,0.1487818503463965
117,223,4,0,0.06722634751620207
118,174,5,0,1.0
119,163,6,0,0.5926941258992869
120,203,5,0,0.3481006908288244
121,156,6,0,1.0
122,165,6,0,1.0
123,173,6,0,1.0
124,165,6,0,0.7043267000513211
125,168,6,0,1.0
126,173,5,0,1.0
127,179,5,0,1.0
128,160,6,0,1.0
129,156,6,0,1.0
130,190,5,0,0.6684189852232185
131,162,6,0,0.5926941258992869
132,166,6,0,0.7043267000513211
133,158,5,1,0.02049227289453483
134,161,5,1,0.02556271745786308
135,178,5,0,0.08663933273628394
136,184,5,0,1.0
137,219,4,0,0.33127686065890066
138,192,5,0,0.5260835443507025
139,156,6,0,1.0
140,165,6,0,1.0
141,155,6,0,1.0
142,164,5,0,1.0
143,169,5,0,1.0
144,180,5,0,0.4564227897273909
145,154,6,0,1.0
146,160,5,0,1.0
147,168,5,0,1.0
148,174,5,0,1.0
149,242,4,0,0.3372662896655576
150,179,5,0,0.4564227897273909
151,154,6,0,0.22079591162322446
152,190,5,0,1.0
153,167,6,0,1.0
154,159,6,0,1.0
155,163,6,0,1.0
156,200,5,0,0.9154039757978761
157,172,6,0,1.0
158,169,6,0,1.0
159,172,5,0,0.9821866989292374
160,173,5,0,0.2425168226050183
161,193,5,0,1.0
162,158,6,0,1.0
163,191,5,0,1.0
164,208,4,0,0.7202451050216049
165,159,5,0,1.0
166,178,5,0,0.4570040654804641
167,166,5,0,0.09645909159847933
168,169,5,0,1.0
169,215,4,0,0.8346509104277
170,186,5,0,1.0
171,158,6,0,1.0
172,164,6,0,1.0
173,158,5,0,0.46763973209113613
174,172,5,0,1.0
175,182,5,0,1.0
176,229,4,0,0.6763300793686581
177,165,5,0,1.0
178,173,5,0,0.2425168226050183
179,191,5,0,1.0
180,159,6,0,1.0
181,190,5,0,0.9792807443059633
182,200,4,0,0.29630522736984843
183,164,5,0,0.14730950340482385
184,158,5,0,0.46763973209113613
185,163,5,0,1.0
186,197,4,0,0.057380907073253544
187,161,5,0,0.5590197817643981
188,161,5,0,0.524835537144181
